Year|Month|Day|rainfall_mm|min_temp_C|max_temp_C|daily_avg|daily_range|uv_MJ_m*m|Season
1944|7|1|0.0|11.2|21.1|16.15|9.9||4
1944|8|1|0.0|10.4|17.5|13.95|7.1||4
1944|9|1|1.8|7.7|19.5|13.6|11.8||1
1944|10|1|0.0|5.2|19.9|12.55|14.7||1
1944|11|1|0.0|13.7|25.0|19.35|11.3||1
1944|12|1|0.0|17.2|37.7|27.45|20.5||2
1945|1|1|0.0|18.6|38.2|28.4|19.6||2
1945|2|1|0.0|17.2|37.8|27.5|20.6||2
1945|3|1|1.0|14.9|25.6|20.25|10.7||3
1945|5|1|2.0|11.2|22.7|16.95|11.5||3
1945|6|1|0.0|8.9|21.9|15.4|13.0||4
1945|7|1|10.9|12.8|18.2|15.5|5.4||4
1945|8|1|0.0|6.7|12.1|9.4|5.4||4
1945|9|1|9.1|11.1|16.1|13.6|5.0||1
1945|10|1|0.0|6.6|24.8|15.7|18.2||1
1945|11|1|0.3|11.8|21.0|16.4|9.2||1
1945|12|1|0.0|13.9|25.4|19.65|11.5||2
1946|1|1|0.0|17.2|34.7|25.95|17.5||2
1946|2|1|0.0|11.2|28.2|19.7|17.0||2
1946|3|1|0.0|14.6|38.8|26.7|24.2||3
1946|4|1|0.0|16.1|27.7|21.9|11.6||3
1946|5|1|5.3|12.7|19.4|16.05|6.7||3
1946|6|1|0.0|5.9|22.2|14.05|16.3||4
1946|7|1|0.0|10.5|18.3|14.4|7.8||4
1946|8|1|0.0|10.1|17.3|13.7|7.2||4
1946|9|1|0.0|4.9|18.4|11.65|13.5||1
1946|10|1|0.0|12.6|23.3|17.95|10.7||1
1946|11|1|0.0|12.6|24.4|18.5|11.8||1
1946|12|1|0.0|11.1|25.7|18.4|14.6||2
1947|1|1|0.0|14.2|30.1|22.15|15.9||2
1947|2|1|0.0|18.0|32.9|25.45|14.9||2
1947|3|1|0.0|14.1|29.9|22.0|15.8||3
1947|4|1|0.0|14.6|30.6|22.6|16.0||3
1947|5|1|0.0|9.9|27.2|18.55|17.3||3
1947|6|1|0.5|7.9|16.6|12.25|8.7||4
1947|7|1|3.6|5.9|16.7|11.3|10.8||4
1947|8|1|0.0|4.5|18.5|11.5|14.0||4
1947|9|1|6.9|8.4|18.2|13.3|9.8||1
1947|10|1|4.8|7.7|15.1|11.4|7.4||1
1947|11|1|0.0|9.1|20.2|14.65|11.1||1
1947|12|1|0.0|12.8|25.6|19.2|12.8||2
1948|1|1|0.0|14.1|30.5|22.3|16.4||2
1948|2|1|0.0|17.6|31.5|24.55|13.9||2
1948|3|1|0.0|8.6|29.5|19.05|20.9||3
1948|4|1|0.0|13.4|24.9|19.15|11.5||3
1948|5|1|1.0|13.8|21.3|17.55|7.5||3
1948|6|1|0.0|6.8|23.2|15.0|16.4||4
